fecha,producto,categoria,unidades_vendidas,clima,evento_especial,promocion,precio_unitario,total_ventas,mes,estacion
2020-01-09,Producto D,Categoria 1,279,Lluvia,Ninguno,Sin promoción,24,6696,1,Invierno
2020-01-09,Producto E,Categoria 2,439,Nevado,Black Friday,Sin promoción,12,5268,1,Invierno
2020-01-10,Producto A,Categoria 2,464,Nevado,Semana Santa,Sin promoción,39,18096,1,Invierno
2020-01-10,Producto B,Categoria 1,835,Soleado,Navidad,Sin promoción,39,32565,1,Invierno
2020-01-10,Producto C,Categoria 1,272,Soleado,Semana Santa,Descuento,25,6800,1,Invierno
2020-01-10,Producto D,Categoria 3,370,Lluvia,Black Friday,Sin promoción,34,12580,1,Invierno
2020-01-10,Producto E,Categoria 2,487,Nublado,Lunes de Pascua,Descuento,12,5844,1,Invierno
2020-01-11,Producto A,Categoria 3,728,Lluvia,Navidad,Descuento,8,5824,1,Invierno
2020-01-11,Producto B,Categoria 3,437,Nevado,Black Friday,Sin promoción,32,13984,1,Invierno
2020-01-11,Producto C,Categoria 2,194,Soleado,Lunes de Pascua,Sin promoción,28,5432,1,Invierno
2020-01-11,Producto D,Categoria 1,190,Soleado,Lunes de Pascua,Descuento,25,4750,1,Invierno
2020-01-11,Producto E,Categoria 3,101,Soleado,Ninguno,Sin promoción,46,4646,1,Invierno
2020-01-12,Producto A,Categoria 3,782,Nublado,Navidad,Descuento,28,21896,1,Invierno
2020-01-12,Producto B,Categoria 2,676,Nevado,Navidad,Descuento,44,29744,1,Invierno
2020-01-12,Producto C,Categoria 1,273,Soleado,Ninguno,Sin promoción,33,9009,1,Invierno
2020-01-12,Producto D,Categoria 2,611,Lluvia,Navidad,Descuento,11,6721,1,Invierno
2020-01-12,Producto E,Categoria 1,370,Nevado,Lunes de Pascua,Sin promoción,12,4440,1,Invierno
2020-01-13,Producto A,Categoria 2,383,Nevado,Semana Santa,Descuento,38,14554,1,Invierno
2020-01-13,Producto B,Categoria 2,235,Nevado,Ninguno,Descuento,26,6110,1,Invierno
2020-01-13,Producto C,Categoria 2,689,Nublado,Black Friday,Sin promoción,47,32383,1,Invierno
2020-01-13,Producto D,Categoria 1,171,Soleado,Lunes de Pascua,Sin promoción,43,7353,1,Invierno
2020-01-13,Producto E,Categoria 2,294,Soleado,Semana Santa,Sin promoción,44,12936,1,Invierno
2020-01-14,Producto A,Categoria 1,325,Nublado,Semana Santa,Sin promoción,21,6825,1,Invierno
2020-01-14,Producto B,Categoria 3,691,Lluvia,Semana Santa,Sin promoción,13,8983,1,Invierno
2020-01-14,Producto C,Categoria 1,388,Soleado,Navidad,Sin promoción,29,11252,1,Invierno
2020-01-14,Producto D,Categoria 1,677,Soleado,Black Friday,Sin promoción,9,6093,1,Invierno
2020-01-14,Producto E,Categoria 2,228,Soleado,Ninguno,Sin promoción,41,9348,1,Invierno
2020-01-15,Producto A,Categoria 2,283,Soleado,Lunes de Pascua,Sin promoción,34,9622,1,Invierno
2020-01-15,Producto B,Categoria 2,368,Nublado,Semana Santa,Descuento,30,11040,1,Invierno
2020-01-15,Producto C,Categoria 2,149,Nevado,Lunes de Pascua,Descuento,37,5513,1,Invierno
2020-01-15,Producto D,Categoria 2,299,Nublado,Lunes de Pascua,Descuento,14,4186,1,Invierno
2020-01-15,Producto E,Categoria 2,378,Soleado,Semana Santa,Sin promoción,23,8694,1,Invierno
2020-01-16,Producto A,Categoria 2,577,Nevado,Black Friday,Sin promoción,20,11540,1,Invierno
2020-01-16,Producto B,Categoria 3,792,Nublado,Black Friday,Sin promoción,31,24552,1,Invierno
2020-01-16,Producto C,Categoria 2,696,Lluvia,Semana Santa,Descuento,47,32712,1,Invierno
2020-01-16,Producto D,Categoria 1,466,Nevado,Ninguno,Descuento,44,20504,1,Invierno
2020-01-16,Producto E,Categoria 2,671,Lluvia,Semana Santa,Descuento,6,4026,1,Invierno
2020-01-17,Producto A,Categoria 1,583,Lluvia,Navidad,Descuento,30,17490,1,Invierno
2020-01-17,Producto B,Categoria 2,549,Nublado,Navidad,Descuento,49,26901,1,Invierno
2020-01-17,Producto C,Categoria 3,480,Soleado,Semana Santa,Descuento,41,19680,1,Invierno
2020-01-17,Producto D,Categoria 1,148,Nevado,Ninguno,Descuento,40,5920,1,Invierno
2020-01-17,Producto E,Categoria 2,440,Soleado,Lunes de Pascua,Sin promoción,27,11880,1,Invierno
2020-01-18,Producto A,Categoria 1,686,Lluvia,Black Friday,Sin promoción,29,19894,1,Invierno
2020-01-18,Producto B,Categoria 2,271,Soleado,Ninguno,Descuento,16,4336,1,Invierno
2020-01-18,Producto C,Categoria 1,330,Soleado,Ninguno,Sin promoción,32,10560,1,Invierno
2020-01-18,Producto D,Categoria 2,619,Lluvia,Semana Santa,Descuento,39,24141,1,Invierno
2020-01-18,Producto E,Categoria 1,102,Nevado,Ninguno,Descuento,27,2754,1,Invierno
2020-01-19,Producto A,Categoria 1,168,Lluvia,Lunes de Pascua,Descuento,43,7224,1,Invierno
2020-01-19,Producto B,Categoria 2,651,Lluvia,Navidad,Descuento,16,10416,1,Invierno
2020-01-19,Producto C,Categoria 1,902,Nublado,Navidad,Sin promoción,42,37884,1,Invierno
2020-01-19,Producto D,Categoria 3,219,Nublado,Lunes de Pascua,Sin promoción,13,2847,1,Invierno
2020-01-19,Producto E,Categoria 2,466,Lluvia,Navidad,Sin promoción,42,19572,1,Invierno
2020-01-20,Producto A,Categoria 3,391,Nevado,Lunes de Pascua,Descuento,21,8211,1,Invierno
2020-01-20,Producto B,Categoria 3,505,Lluvia,Black Friday,Descuento,35,17675,1,Invierno
2020-01-20,Producto C,Categoria 3,425,Soleado,Semana Santa,Sin promoción,30,12750,1,Invierno
2020-01-20,Producto D,Categoria 3,267,Lluvia,Ninguno,Descuento,24,6408,1,Invierno
2020-01-20,Producto E,Categoria 1,461,Lluvia,Black Friday,Descuento,29,13369,1,Invierno
2020-01-21,Producto A,Categoria 1,107,Nublado,Lunes de Pascua,Sin promoción,48,5136,1,Invierno
2020-01-21,Producto B,Categoria 1,352,Nevado,Lunes de Pascua,Descuento,25,8800,1,Invierno
2020-01-21,Producto C,Categoria 2,323,Soleado,Ninguno,Sin promoción,39,12597,1,Invierno
2020-01-21,Producto D,Categoria 3,528,Nevado,Black Friday,Sin promoción,18,9504,1,Invierno
2020-01-21,Producto E,Categoria 3,468,Lluvia,Black Friday,Descuento,27,12636,1,Invierno
2020-01-22,Producto A,Categoria 1,479,Lluvia,Semana Santa,Sin promoción,42,20118,1,Invierno
2020-01-22,Producto B,Categoria 1,502,Nevado,Navidad,Sin promoción,12,6024,1,Invierno
2020-01-22,Producto C,Categoria 2,509,Nevado,Navidad,Sin promoción,40,20360,1,Invierno
2020-01-22,Producto D,Categoria 3,877,Nublado,Black Friday,Descuento,17,14909,1,Invierno
2020-01-22,Producto E,Categoria 1,466,Soleado,Ninguno,Descuento,9,4194,1,Invierno
2020-01-23,Producto A,Categoria 3,841,Soleado,Navidad,Sin promoción,49,41209,1,Invierno
2020-01-23,Producto B,Categoria 1,574,Lluvia,Black Friday,Sin promoción,15,8610,1,Invierno
2020-01-23,Producto C,Categoria 1,846,Nublado,Black Friday,Sin promoción,17,14382,1,Invierno
2020-01-23,Producto D,Categoria 1,639,Nublado,Black Friday,Descuento,32,20448,1,Invierno
2020-01-23,Producto E,Categoria 1,340,Soleado,Lunes de Pascua,Sin promoción,41,13940,1,Invierno
2020-01-24,Producto A,Categoria 1,442,Soleado,Navidad,Sin promoción,18,7956,1,Invierno
2020-01-24,Producto B,Categoria 1,626,Nublado,Black Friday,Descuento,8,5008,1,Invierno
2020-01-24,Producto C,Categoria 2,674,Soleado,Black Friday,Sin promoción,12,8088,1,Invierno
2020-01-24,Producto D,Categoria 3,804,Nublado,Navidad,Sin promoción,7,5628,1,Invierno
2020-01-24,Producto E,Categoria 3,207,Nublado,Semana Santa,Descuento,34,7038,1,Invierno
2020-01-25,Producto A,Categoria 2,633,Lluvia,Black Friday,Descuento,41,25953,1,Invierno
2020-01-25,Producto B,Categoria 1,786,Nublado,Navidad,Descuento,42,33012,1,Invierno
2020-01-25,Producto C,Categoria 2,872,Nublado,Navidad,Sin promoción,19,16568,1,Invierno
2020-01-25,Producto D,Categoria 3,584,Lluvia,Navidad,Sin promoción,46,26864,1,Invierno
2020-01-25,Producto E,Categoria 3,456,Soleado,Lunes de Pascua,Descuento,21,9576,1,Invierno
2020-01-26,Producto A,Categoria 2,266,Soleado,Semana Santa,Sin promoción,6,1596,1,Invierno
2020-01-26,Producto B,Categoria 1,289,Nublado,Ninguno,Descuento,15,4335,1,Invierno
2020-01-26,Producto C,Categoria 3,625,Lluvia,Black Friday,Descuento,15,9375,1,Invierno
2020-01-26,Producto D,Categoria 2,592,Nevado,Semana Santa,Sin promoción,29,17168,1,Invierno
2020-01-26,Producto E,Categoria 3,142,Nevado,Ninguno,Descuento,36,5112,1,Invierno
2020-01-27,Producto A,Categoria 2,686,Soleado,Navidad,Descuento,22,15092,1,Invierno
2020-01-27,Producto B,Categoria 2,64,Soleado,Lunes de Pascua,Sin promoción,45,2880,1,Invierno
2020-01-27,Producto C,Categoria 2,544,Nublado,Navidad,Descuento,49,26656,1,Invierno
2020-01-27,Producto D,Categoria 3,565,Soleado,Navidad,Descuento,34,19210,1,Invierno
2020-01-27,Producto E,Categoria 3,130,Lluvia,Lunes de Pascua,Descuento,5,650,1,Invierno
2020-01-28,Producto A,Categoria 1,322,Lluvia,Lunes de Pascua,Sin promoción,26,8372,1,Invierno
2020-01-28,Producto B,Categoria 2,314,Nublado,Semana Santa,Descuento,6,1884,1,Invierno
2020-01-28,Producto C,Categoria 1,420,Nublado,Ninguno,Sin promoción,11,4620,1,Invierno
2020-01-28,Producto D,Categoria 3,380,Lluvia,Ninguno,Descuento,39,14820,1,Invierno
2020-01-28,Producto E,Categoria 3,408,Lluvia,Black Friday,Descuento,21,8568,1,Invierno
2020-01-29,Producto A,Categoria 3,573,Nublado,Navidad,Sin promoción,21,12033,1,Invierno
2020-01-29,Producto B,Categoria 1,709,Nevado,Black Friday,Sin promoción,45,31905,1,Invierno
2020-01-29,Producto C,Categoria 1,190,Nublado,Semana Santa,Descuento,44,8360,1,Invierno
2020-01-29,Producto D,Categoria 1,474,Nevado,Ninguno,Sin promoción,41,19434,1,Invierno
2020-01-29,Producto E,Categoria 2,703,Nevado,Navidad,Sin promoción,37,26011,1,Invierno
2020-01-30,Producto A,Categoria 1,119,Nublado,Lunes de Pascua,Sin promoción,8,952,1,Invierno
2020-01-30,Producto B,Categoria 2,725,Lluvia,Black Friday,Descuento,41,29725,1,Invierno
2020-01-30,Producto C,Categoria 3,543,Nublado,Navidad,Sin promoción,8,4344,1,Invierno
2020-01-30,Producto D,Categoria 3,745,Nublado,Black Friday,Sin promoción,6,4470,1,Invierno
2020-01-30,Producto E,Categoria 3,617,Lluvia,Navidad,Descuento,10,6170,1,Invierno
2020-01-31,Producto A,Categoria 2,457,Nublado,Semana Santa,Descuento,24,10968,1,Invierno
2020-01-31,Producto B,Categoria 1,428,Nevado,Black Friday,Sin promoción,41,17548,1,Invierno
2020-01-31,Producto C,Categoria 2,465,Lluvia,Semana Santa,Descuento,14,6510,1,Invierno
2020-01-31,Producto D,Categoria 1,834,Lluvia,Navidad,Sin promoción,6,5004,1,Invierno
2020-01-31,Producto E,Categoria 1,350,Lluvia,Lunes de Pascua,Descuento,15,5250,1,Invierno
2020-02-01,Producto A,Categoria 3,144,Nevado,Ninguno,Sin promoción,9,1296,2,Invierno
2020-02-01,Producto B,Categoria 2,557,Nevado,Semana Santa,Sin promoción,13,7241,2,Invierno
2020-02-01,Producto C,Categoria 2,50,Nevado,Ninguno,Descuento,44,2200,2,Invierno
2020-02-01,Producto D,Categoria 2,316,Nevado,Lunes de Pascua,Sin promoción,45,14220,2,Invierno
2020-02-01,Producto E,Categoria 1,524,Nublado,Semana Santa,Sin promoción,41,21484,2,Invierno
2020-02-02,Producto A,Categoria 1,540,Lluvia,Ninguno,Sin promoción,8,4320,2,Invierno
2020-02-02,Producto B,Categoria 1,994,Soleado,Navidad,Descuento,44,43736,2,Invierno
2020-02-02,Producto C,Categoria 2,471,Nevado,Ninguno,Descuento,37,17427,2,Invierno
2020-02-02,Producto D,Categoria 3,582,Lluvia,Black Friday,Descuento,44,25608,2,Invierno
2020-02-02,Producto E,Categoria 3,269,Lluvia,Ninguno,Sin promoción,11,2959,2,Invierno
2020-02-03,Producto A,Categoria 3,374,Nevado,Navidad,Sin promoción,33,12342,2,Invierno
2020-02-03,Producto B,Categoria 1,206,Nevado,Ninguno,Sin promoción,42,8652,2,Invierno
2020-02-03,Producto C,Categoria 1,502,Soleado,Lunes de Pascua,Descuento,8,4016,2,Invierno
2020-02-03,Producto D,Categoria 2,489,Nublado,Navidad,Descuento,42,20538,2,Invierno
2020-02-03,Producto E,Categoria 1,491,Lluvia,Semana Santa,Descuento,19,9329,2,Invierno
2020-02-04,Producto A,Categoria 1,96,Nevado,Lunes de Pascua,Descuento,8,768,2,Invierno
2020-02-04,Producto B,Categoria 1,164,Nublado,Ninguno,Descuento,40,6560,2,Invierno
2020-02-04,Producto C,Categoria 2,227,Lluvia,Ninguno,Descuento,14,3178,2,Invierno
2020-02-04,Producto D,Categoria 2,829,Nublado,Navidad,Sin promoción,17,14093,2,Invierno
2020-02-04,Producto E,Categoria 2,463,Nublado,Black Friday,Descuento,47,21761,2,Invierno
2020-02-05,Producto A,Categoria 1,176,Nevado,Lunes de Pascua,Sin promoción,46,8096,2,Invierno
2020-02-05,Producto B,Categoria 1,328,Nevado,Navidad,Descuento,18,5904,2,Invierno
2020-02-05,Producto C,Categoria 1,306,Nublado,Ninguno,Descuento,41,12546,2,Invierno
2020-02-05,Producto D,Categoria 1,462,Nublado,Semana Santa,Sin promoción,44,20328,2,Invierno
2020-02-05,Producto E,Categoria 3,521,Soleado,Black Friday,Descuento,30,15630,2,Invierno
2020-02-06,Producto A,Categoria 1,370,Lluvia,Semana Santa,Descuento,6,2220,2,Invierno
2020-02-06,Producto B,Categoria 3,396,Nublado,Ninguno,Sin promoción,21,8316,2,Invierno
2020-02-06,Producto C,Categoria 3,424,Lluvia,Semana Santa,Descuento,29,12296,2,Invierno
2020-02-06,Producto D,Categoria 3,210,Nevado,Lunes de Pascua,Sin promoción,33,6930,2,Invierno
2020-02-06,Producto E,Categoria 3,770,Lluvia,Navidad,Sin promoción,45,34650,2,Invierno
2020-02-07,Producto A,Categoria 1,386,Nevado,Semana Santa,Descuento,11,4246,2,Invierno
2020-02-07,Producto B,Categoria 1,264,Nevado,Lunes de Pascua,Sin promoción,23,6072,2,Invierno
2020-02-07,Producto C,Categoria 2,478,Nevado,Lunes de Pascua,Descuento,33,15774,2,Invierno
2020-02-07,Producto D,Categoria 2,306,Nevado,Ninguno,Sin promoción,18,5508,2,Invierno
2020-02-07,Producto E,Categoria 3,550,Lluvia,Navidad,Sin promoción,5,2750,2,Invierno
2020-02-08,Producto A,Categoria 1,408,Lluvia,Ninguno,Sin promoción,23,9384,2,Invierno
2020-02-08,Producto B,Categoria 2,290,Nublado,Semana Santa,Descuento,32,9280,2,Invierno
2020-02-08,Producto C,Categoria 2,446,Lluvia,Lunes de Pascua,Sin promoción,7,3122,2,Invierno
2020-02-08,Producto D,Categoria 3,189,Lluvia,Lunes de Pascua,Sin promoción,37,6993,2,Invierno
2020-02-08,Producto E,Categoria 3,432,Nevado,Navidad,Descuento,18,7776,2,Invierno
2020-02-09,Producto A,Categoria 2,471,Lluvia,Semana Santa,Sin promoción,18,8478,2,Invierno
2020-02-09,Producto B,Categoria 3,765,Lluvia,Navidad,Descuento,27,20655,2,Invierno
2020-02-09,Producto C,Categoria 1,133,Lluvia,Lunes de Pascua,Descuento,22,2926,2,Invierno
2020-02-09,Producto D,Categoria 2,71,Soleado,Lunes de Pascua,Sin promoción,7,497,2,Invierno
2020-02-09,Producto E,Categoria 3,503,Lluvia,Semana Santa,Sin promoción,34,17102,2,Invierno
2020-02-10,Producto A,Categoria 1,404,Nublado,Lunes de Pascua,Sin promoción,26,10504,2,Invierno
2020-02-10,Producto B,Categoria 1,264,Nublado,Ninguno,Sin promoción,36,9504,2,Invierno
2020-02-10,Producto C,Categoria 1,63,Nublado,Ninguno,Descuento,13,819,2,Invierno
2020-02-10,Producto D,Categoria 2,715,Soleado,Black Friday,Descuento,8,5720,2,Invierno
2020-02-10,Producto E,Categoria 2,147,Nublado,Lunes de Pascua,Descuento,27,3969,2,Invierno
2020-02-11,Producto A,Categoria 1,691,Lluvia,Navidad,Sin promoción,42,29022,2,Invierno
2020-02-11,Producto B,Categoria 2,448,Soleado,Lunes de Pascua,Descuento,27,12096,2,Invierno
2020-02-11,Producto C,Categoria 1,362,Nublado,Lunes de Pascua,Descuento,35,12670,2,Invierno
2020-02-11,Producto D,Categoria 2,730,Lluvia,Navidad,Sin promoción,21,15330,2,Invierno
2020-02-11,Producto E,Categoria 2,335,Soleado,Semana Santa,Sin promoción,47,15745,2,Invierno
2020-02-12,Producto A,Categoria 1,465,Lluvia,Lunes de Pascua,Sin promoción,33,15345,2,Invierno
2020-02-12,Producto B,Categoria 1,291,Lluvia,Ninguno,Sin promoción,43,12513,2,Invierno
2020-02-12,Producto C,Categoria 3,511,Nublado,Navidad,Descuento,26,13286,2,Invierno
2020-02-12,Producto D,Categoria 1,523,Nevado,Black Friday,Sin promoción,24,12552,2,Invierno
2020-02-12,Producto E,Categoria 3,664,Lluvia,Semana Santa,Descuento,13,8632,2,Invierno
2020-02-13,Producto A,Categoria 2,250,Nublado,Lunes de Pascua,Descuento,44,11000,2,Invierno
2020-02-13,Producto B,Categoria 1,766,Soleado,Black Friday,Descuento,29,22214,2,Invierno
2020-02-13,Producto C,Categoria 3,341,Lluvia,Ninguno,Sin promoción,34,11594,2,Invierno
2020-02-13,Producto D,Categoria 2,293,Nublado,Semana Santa,Descuento,21,6153,2,Invierno
2020-02-13,Producto E,Categoria 2,501,Soleado,Black Friday,Descuento,23,11523,2,Invierno
2020-02-14,Producto A,Categoria 3,845,Soleado,Black Friday,Descuento,12,10140,2,Invierno
2020-02-14,Producto B,Categoria 1,450,Nublado,Black Friday,Sin promoción,30,13500,2,Invierno
2020-02-14,Producto C,Categoria 1,571,Soleado,Navidad,Descuento,11,6281,2,Invierno
2020-02-14,Producto D,Categoria 1,630,Lluvia,Navidad,Descuento,19,11970,2,Invierno
2020-02-14,Producto E,Categoria 1,730,Lluvia,Black Friday,Descuento,33,24090,2,Invierno
2020-02-15,Producto A,Categoria 2,645,Lluvia,Semana Santa,Descuento,18,11610,2,Invierno
2020-02-15,Producto B,Categoria 3,237,Nevado,Ninguno,Sin promoción,49,11613,2,Invierno
2020-02-15,Producto C,Categoria 2,547,Lluvia,Lunes de Pascua,Descuento,27,14769,2,Invierno
2020-02-15,Producto D,Categoria 3,851,Lluvia,Black Friday,Sin promoción,37,31487,2,Invierno
2020-02-15,Producto E,Categoria 1,653,Nublado,Semana Santa,Sin promoción,39,25467,2,Invierno
2020-02-16,Producto A,Categoria 2,318,Nublado,Ninguno,Descuento,17,5406,2,Invierno
2020-02-16,Producto B,Categoria 2,88,Nevado,Ninguno,Descuento,33,2904,2,Invierno
2020-02-16,Producto C,Categoria 2,319,Soleado,Lunes de Pascua,Sin promoción,48,15312,2,Invierno
2020-02-16,Producto D,Categoria 3,770,Soleado,Navidad,Sin promoción,34,26180,2,Invierno
2020-02-16,Producto E,Categoria 1,474,Lluvia,Lunes de Pascua,Sin promoción,8,3792,2,Invierno
2020-02-17,Producto A,Categoria 2,481,Nublado,Lunes de Pascua,Descuento,5,2405,2,Invierno
2020-02-17,Producto B,Categoria 1,693,Nublado,Black Friday,Descuento,41,28413,2,Invierno
2020-02-17,Producto C,Categoria 1,295,Soleado,Ninguno,Sin promoción,28,8260,2,Invierno
2020-02-17,Producto D,Categoria 3,202,Nublado,Lunes de Pascua,Sin promoción,11,2222,2,Invierno
2020-02-17,Producto E,Categoria 3,265,Nevado,Semana Santa,Descuento,49,12985,2,Invierno
2020-02-18,Producto A,Categoria 2,362,Nublado,Ninguno,Sin promoción,30,10860,2,Invierno
2020-02-18,Producto B,Categoria 1,644,Soleado,Navidad,Descuento,9,5796,2,Invierno
2020-02-18,Producto C,Categoria 2,627,Lluvia,Black Friday,Descuento,46,28842,2,Invierno
2020-02-18,Producto D,Categoria 3,609,Nublado,Navidad,Sin promoción,7,4263,2,Invierno
2020-02-18,Producto E,Categoria 3,430,Nublado,Lunes de Pascua,Sin promoción,29,12470,2,Invierno
2020-02-19,Producto A,Categoria 1,316,Nevado,Lunes de Pascua,Sin promoción,45,14220,2,Invierno
2020-02-19,Producto B,Categoria 3,396,Lluvia,Semana Santa,Descuento,38,15048,2,Invierno
2020-02-19,Producto C,Categoria 2,810,Soleado,Black Friday,Descuento,19,15390,2,Invierno
2020-02-19,Producto D,Categoria 2,225,Nevado,Ninguno,Descuento,30,6750,2,Invierno
2020-02-19,Producto E,Categoria 2,225,Nublado,Lunes de Pascua,Sin promoción,17,3825,2,Invierno
2020-02-20,Producto A,Categoria 1,444,Soleado,Black Friday,Sin promoción,7,3108,2,Invierno
2020-02-20,Producto B,Categoria 2,286,Nevado,Ninguno,Descuento,37,10582,2,Invierno
2020-02-20,Producto C,Categoria 2,217,Nevado,Ninguno,Sin promoción,32,6944,2,Invierno
2020-02-20,Producto D,Categoria 1,250,Lluvia,Ninguno,Sin promoción,47,11750,2,Invierno
2020-02-20,Producto E,Categoria 1,441,Soleado,Lunes de Pascua,Sin promoción,42,18522,2,Invierno
2020-02-21,Producto A,Categoria 3,403,Soleado,Ninguno,Descuento,27,10881,2,Invierno
2020-02-21,Producto B,Categoria 2,207,Nublado,Ninguno,Descuento,43,8901,2,Invierno
2020-02-21,Producto C,Categoria 3,431,Nublado,Semana Santa,Sin promoción,33,14223,2,Invierno
2020-02-21,Producto D,Categoria 3,204,Nublado,Lunes de Pascua,Sin promoción,45,9180,2,Invierno
2020-02-21,Producto E,Categoria 1,859,Nevado,Navidad,Sin promoción,10,8590,2,Invierno
2020-02-22,Producto A,Categoria 3,532,Nublado,Navidad,Descuento,19,10108,2,Invierno
2020-02-22,Producto B,Categoria 2,274,Soleado,Lunes de Pascua,Sin promoción,36,9864,2,Invierno
2020-02-22,Producto C,Categoria 2,66,Nevado,Ninguno,Sin promoción,16,1056,2,Invierno
2020-02-22,Producto D,Categoria 2,592,Soleado,Navidad,Sin promoción,22,13024,2,Invierno
2020-02-22,Producto E,Categoria 2,213,Nublado,Lunes de Pascua,Sin promoción,39,8307,2,Invierno
2020-02-23,Producto A,Categoria 1,82,Nevado,Lunes de Pascua,Descuento,10,820,2,Invierno
2020-02-23,Producto B,Categoria 3,152,Lluvia,Ninguno,Descuento,38,5776,2,Invierno
2020-02-23,Producto C,Categoria 2,148,Nublado,Lunes de Pascua,Sin promoción,17,2516,2,Invierno
2020-02-23,Producto D,Categoria 1,175,Lluvia,Lunes de Pascua,Descuento,6,1050,2,Invierno
2020-02-23,Producto E,Categoria 3,242,Nublado,Semana Santa,Sin promoción,21,5082,2,Invierno
2020-02-24,Producto A,Categoria 2,216,Nevado,Semana Santa,Descuento,20,4320,2,Invierno
